Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      7,     7.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*hibernate.*\.jar$).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate OGM (embedded)).as(default)"
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.76.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Ignite (embedded)).as(default)"
     1,    142,   142.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CambioDeLaFechaContableBoImpBeanLocal_java.html)"
     3,      0,     0.00, sortDependencyGroupArchivesByPathAscending
     1,     34,    34.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.9.html)"
     1,    102,   102.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.89.html)"
     1,      2,     2.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(78bc1f6c-47d0-4906-9d95-b9479495c92e)"
     1,    117,   117.00, "FreeMarkerIterationOperation.render(/reports/templates/server.ftl, server_resources_AdministracionEfectivo_EAR_module.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jamon (embedded)).as(default)"
  4162,  10316,     2.48, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,    124,   124.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SubBoveda_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Istio (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[CONSTRUCTOR_CALL]).as(a091f76d-d569-45bb-a019-a760268e4e0e)"
     1,      1,     1.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(ce38b8f0-8c97-4ce2-9484-44e15d8b3b54)"
     1,     47,    47.00, Query.fromType(org.jboss.windup.graph.model.ArchiveModel).gremlin()org.jboss.windup.config.query.Query$1@61829c56.as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Zbus Client (embedded)).as(default)"
     1,    187,   187.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatEventosBitacora_java.html)"
     3,   1071,   357.00, sortTechUsageStats
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion Web XML).as(default)"
     1,     43,    43.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.74.html)"
     1,    108,   108.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AuditoriaOperacionProcesadoraGridMB_java.html)"
     1,    100,   100.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.4.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OWASP CSRF Guard (embedded)).as(default)"
     1,   1781,  1781.00, "FreeMarkerIterationOperation.render(/reports/templates/migration-issues.ftl, migration_issues.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JaxRSWebServiceModel).as(default)
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.79.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Monolog (embedded)).as(default)"
     1,      3,     3.00, Query.fromType(org.jboss.windup.graph.model.DuplicateArchiveModel).as(default)
     1,     77,    77.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CambioDeLaFechaContableGridMB_java.html)"
     1,    115,   115.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SolicitudDotacionGridMB_java.72.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Integration (embedded)).as(default)"
     1,  52108, 52108.00, FernflowerDecompilationOperation.perform
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Keyczar (embedded)).as(default)"
     1,    134,   134.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.61.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Tornado Inject (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cactus (embedded)).as(default)"
     1,     94,    94.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatGeneralAeweb_java.html)"
  1521,  11296,     7.43, ClassFilePreDecompilationScan.perform()
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KumuluzEE JTA (embedded)).as(default)"
     1,     88,    88.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MovimientosS500_java.html)"
     1,     76,    76.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.82.html)"
     2,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JspSourceFileModel).as(default)
     1,      9,     9.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JsfSourceFileModel).as(default)
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.109.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SwitchYard (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EJB XML).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,LevelDB Client).as(default)"
     1,    129,   129.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoDenominacionesDivisaDAOImplBeanLocal_java.html)"
 12189,   5723,     0.47, GraphService.findAllByProperty(filePath)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Neo4j (embedded)).as(default)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Security (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logstash (embedded)).as(default)"
     1,     75,    75.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FechaContable_java.html)"
     1,    113,   113.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AuditoriaOperacionProcesadoraBOImplBean_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Elasticsearch (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Servlet).as(default)"
     1,    722,   722.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.66.html)"
     1,    131,   131.00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_graph.ftl, dependency_graph_report.html)"
     1,    126,   126.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TipoEntidad_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBossMQ Client (embedded)).as(default)"
     1,    121,   121.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, dynamiccontent_properties.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Data (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(d44b339a-bc39-4338-8afb-254c76d102a8)"
     1,    130,   130.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FechaContableGridMB_java.html)"
     1,     45,    45.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.36.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Velocity (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle DB Driver).as(default)"
     1,    173,   173.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DetalleTransferenciaPK_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebSphere WS Extension).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Narayana Arjuna (embedded)).as(default)"
     1,    101,   101.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, applicationContext_xml.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Axis (embedded)).as(default)"
     1,    355,   355.00, "FreeMarkerIterationOperation.render(/reports/templates/unparsable_files.ftl, Unparsable_AdministracionEfectivo_EAR_module.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Wicket (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,REST Assured (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OmniFaces (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Geronimo (embedded)).as(default)"
     1,    107,   107.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoModuloSistemaBOImplBean_java.html)"
     1,    189,   189.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.25.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Axion Driver).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JmsDestinationModel).as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KLogger (embedded)).as(default)"
     2,      2,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spark (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SLF4J (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HornetQ Client (embedded)).as(default)"
     1,    187,   187.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.58.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, web_xml.html)"
     1,     59,    59.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.84.html)"
     1,     81,    81.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, UnidadNegocioGridMB_java.html)"
    54,      2,     0.04, "TypeReferenceService.getPackageUseFrequencies(projectModel,nameDepth,recursive)"
     1,      8,     8.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-ejb-jar-ext.xmi).has(rootTagName,EQUALS,EJBJarExtension).as(default)"
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PhotoCamRenderer_java.html)"
     1,     85,    85.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajaHabilitadaPorTurno_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Kodein (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache CXF (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MongoDB Client).as(default)"
   104,      0,     0.00, sortDependencyArchivesByPathAscending
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JAXR).as(default)"
     1,     10,    10.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*jsf-[(api)|(impl)].*\.jar$).as(default)"
     1,     86,    86.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AgrupadorAeWebDAOImplBeanLocal_java.html)"
     1,     13,    13.00, Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).as(default)
     1,    146,   146.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajaGridMB_java.html)"
     1,    125,   125.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EtvGridMB_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,CDI).as(default)"
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.55.html)"
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajasDeTurnoPK_java.html)"
     1,     83,    83.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.87.html)"
