Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logstash (embedded)).as(default)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FechaContable_java.html)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AuditoriaOperacionProcesadoraBOImplBean_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Elasticsearch (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Servlet).as(default)"
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_graph.ftl, dependency_graph_report.html)"
     1,     24,    24.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TipoEntidad_java.html)"
     1,     71,    71.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.40.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBossMQ Client (embedded)).as(default)"
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, dynamiccontent_properties.html)"
     1,      6,     6.00, Query.fromType(org.jboss.windup.rules.apps.xml.model.DoctypeMetaModel).gremlin()org.jboss.windup.rules.apps.javaee.rules.DiscoverHibernateMappingRuleProvider$1@2424a269.as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Data (embedded)).as(default)"
     1,     90,    90.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, FechaContableGridMB_java.html)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.36.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Velocity (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle DB Driver).as(default)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DetalleTransferenciaPK_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebSphere WS Extension).as(default)"
     1,     72,    72.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.34.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Narayana Arjuna (embedded)).as(default)"
     1,     99,    99.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, applicationContext_xml.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Axis (embedded)).as(default)"
     1,     95,    95.00, "FreeMarkerIterationOperation.render(/reports/templates/unparsable_files.ftl, Unparsable_AdministracionEfectivo_EAR_module.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Wicket (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,REST Assured (embedded)).as(default)"
     1,    133,   133.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.90.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OmniFaces (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Geronimo (embedded)).as(default)"
     1,     79,    79.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoModuloSistemaBOImplBean_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Axion Driver).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JmsDestinationModel).as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KLogger (embedded)).as(default)"
     2,      1,     0.50, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spark (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SLF4J (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HornetQ Client (embedded)).as(default)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, web_xml.html)"
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, UnidadNegocioGridMB_java.html)"
    51,    109,     2.14, "TypeReferenceService.getPackageUseFrequencies(projectModel,nameDepth,recursive)"
     1,      3,     3.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-ejb-jar-ext.xmi).has(rootTagName,EQUALS,EJBJarExtension).as(default)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PhotoCamRenderer_java.html)"
     1,     22,    22.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD_CALL]).as(39b21dce-c44d-43ed-8045-c3b6d6f3a02c)"
     1,     80,    80.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajaHabilitadaPorTurno_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Kodein (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache CXF (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MongoDB Client).as(default)"
    50,      3,     0.06, sortDependencyArchivesByPathAscending
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JAXR).as(default)"
     1,      6,     6.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*jsf-[(api)|(impl)].*\.jar$).as(default)"
     1,     92,    92.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AgrupadorAeWebDAOImplBeanLocal_java.html)"
     1,      6,     6.00, Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).as(default)
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajaGridMB_java.html)"
     1,     82,    82.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EtvGridMB_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,CDI).as(default)"
     1,    115,   115.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CajasDeTurnoPK_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Dagger (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPORT]).as(7e87b419-d60b-4617-abe3-31dfb7483175)"
     1,      3,     3.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(e13f2744-d16c-4ae4-ba2b-57a50f4bc3c5)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EasyMock (embedded)).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.CssFileModel).as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Tomcat (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Demoiselle JTA (embedded)).as(default)"
     1,      2,     2.00, Query.fromType(org.jboss.windup.graph.model.ArchiveModel).gremlin()org.jboss.windup.config.query.Query$1@708f0c89.as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Shiro (embedded)).as(default)"
     1,      7,     7.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,pom.xml).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RandomizedTesting Runner (embedded)).as(default)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.33.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JDBC (embedded)).as(default)"
     1,     82,    82.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Cpae_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Drools (embedded)).as(default)"
     1,     55,    55.00, "FreeMarkerIterationOperation.render(/reports/templates/ignored_files.ftl, ignoredfiles_AdministracionEfectivo_EAR_module.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.RemoteServiceModel).as(default)
     1,     53,    53.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CuentaMayorGridMB_java.html)"
     1,     63,    63.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.46.html)"
     1,      0,     0.00, GraphService.findAllByProperty(JNDI_LOCATION)
     1,      8,     8.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,datasources).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Polyforms DI (embedded)).as(default)"
     1,    148,   148.00, Query.fromType(org.jboss.windup.graph.model.resource.FileModel).as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BootsFaces (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MapR (embedded)).as(default)"
     1,     72,    72.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.93.html)"
     1,     51,    51.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoContratoBOImplBean_java.html)"
     1,      3,     3.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(12ee0edf-2cd1-4b53-8289-3cd7fa4584f5)"
134128,    260,     0.00, TypeInterestFactory.matchesAny(text)
     1,      3,     3.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,orion-ejb-jar).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MEJB).as(default)"
     1,     22,    22.00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbSessionBeanModel).gremlin().has(sessionType,EQUALS,Singleton).as(default)"
   327,      0,     0.00, fileModelToSourceReport
    66,      0,     0.00, getEffortDescriptionForPoints
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KouInject (embedded)).as(default)"
     1,      0,     0.00, sortApplicationsList
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cucumber (embedded)).as(default)"
     1,     73,    73.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Comprobante_java.html)"
     1,     73,    73.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Estructura_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WF Core JTA (embedded)).as(default)"
     1,    603,   603.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, persistence_xml.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MySQL Driver).as(default)"
     1,     74,    74.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.16.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Scaldi (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Winter (embedded)).as(default)"
     1,    131,   131.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.1.html)"
     1,     94,    94.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DetalleInterfaceProcesadora_java.html)"
     1,      3,     3.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,ejb-jar).has(fileName,EQUALS,jboss-ejb3.xml).as(default)"
     1,     26,    26.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.5.html)"
     1,     18,    18.00, getNumberOfLibraries
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Sticky Configured (embedded)).as(default)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, taskContext_xml.78.html)"
     1,     46,    46.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TipoDeError_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JayWire (embedded)).as(default)"
     1,     59,    59.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.32.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OpenSAML (embedded)).as(default)"
     1,     29,    29.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ContratoGridMB_java.html)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPLEMENTS_TYPE]).as(998f0d25-7c91-4b9d-bf57-32269b5f946f)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Unitils (embedded)).as(default)"
     1,    388,   388.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoSubBovedaBOImplBean_java.html)"
   137,    266,     1.94, Classification.performParameterized
     1,    505,   505.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TipoDeOperacionPK_java.html)"
     1,     64,    64.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoEtvDAOImplBeanLocal_java.html)"
     1,     21,    21.00, "FreeMarkerIterationOperation.render(/reports/templates/jboss/jboss-web.ftl, AdministracionEfectivo_EAR_module/AdministracionEfectivo_Web_module/jboss-web.xml)"
     1,     50,    50.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.70.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Injekt for Kotlin (embedded)).as(default)"
     1,    397,   397.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.23.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Avalon Logkit (embedded)).as(default)"
     1,     28,    28.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, InicioFinTurnoGridMB_java.html)"
     1,     43,    43.00, "FreeMarkerIterationOperation.render(/reports/templates/windupfreemarkerfunctions.ftl, windup_freemarkerfunctions.html)"
     1,     75,    75.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EnvasePK_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Unirest (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Grapht DI (embedded)).as(default)"
     1,    107,   107.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.104.html)"
     1,    410,   410.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.42.html)"
     1,     47,    47.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AsignarTurnosDAOImplBeanLocal_java.html)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EtvIdnNombreDTODAOImplBeanLocal_java.html)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ComprobantePK_java.html)"
     1,     90,    90.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Corte_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mixer (embedded)).as(default)"
     1,     56,    56.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AtmPK_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Common Annotations).as(default)"
     1,     45,    45.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GlobalReportAbstract_java.html)"
     1,     75,    75.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoCpaeDAOImplBeanLocal_java.html)"
     1,     64,    64.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.38.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Vaadin (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Java EE Batch).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Specsy (embedded)).as(default)"
     1,     27,    27.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.75.html)"
     1,     28,    28.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ComprobanteDeDotacion_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Evo JTA (embedded)).as(default)"
     1,     81,    81.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CatalogoEmpleadoBOImplBean_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Ka DI (embedded)).as(default)"
     1,   1292,  1292.00, org.jboss.windup.graph.GraphContextFactory.create(Path)
    51,      3,     0.06, getClassificationForFile
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.19.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring MVC (embedded)).as(default)"
     1,    102,   102.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, BancoGridMB_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Webmacro (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle ADF (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate Cfg).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.HibernateConfigurationFileModel).as(default)
     1,    171,   171.00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_report.ftl, dependency_report_AdministracionEfectivo_EAR_module.html)"
     1,      1,     1.00, Query.fromType(org.jboss.windup.reporting.model.ApplicationReportModel).as(default)
     1,     83,    83.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.58.html)"
     1,     62,    62.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.24.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PowerMock (embedded)).as(default)"
     1,     39,    39.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EmailMessageBeanLocal_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mule (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jetbrick Template (embedded)).as(default)"
     1,     86,    86.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SolicitudDotacionBOImplBeanLocal_java.html)"
